LinkID,FromNode,ToNode,Length,RoadClass,Geometry
1,1,2,39.3,3,116.223614:39.992674;116.223154:39.992674
2,2,3,46.1,3,116.223154:39.992674;116.223134:39.992737;116.223096:39.992819;116.223047:39.992904;116.222990:39.992979;116.222922:39.993044
3,4,5,101.1,3,116.221272:39.992344;116.221317:39.992253;116.221357:39.992185;116.221404:39.992121;116.221452:39.992068;116.221498:39.992023;116.221558:39.991976;116.221611:39.991943;116.221690:39.991905;116.221766:39.991873;116.221848:39.991851;116.221941:39.991833;116.222035:39.991815;116.222127:39.991807
4,6,7,49.5,3,116.222051:39.993301;116.222002:39.993293;116.221921:39.993277;116.221847:39.993259;116.221774:39.993235;116.221698:39.993202;116.221624:39.993160;116.221543:39.993102
5,8,9,60.1,2,116.213802:39.955074;116.213802:39.955076;116.213803:39.955129;116.213796:39.955244;116.213801:39.955287;116.213807:39.955316;116.213813:39.955337;116.213832:39.955366;116.213859:39.955385;116.213892:39.955403;116.213931:39.955414;116.213975:39.955420;116.214015:39.955417;116.214045:39.955414;116.214086:39.955403;116.214124:39.955391
6,10,11,470.9,1,116.212047:39.921246;116.212051:39.921380;116.212127:39.922425;116.212166:39.922992;116.212206:39.923510;116.212267:39.924330;116.212285:39.925483
7,12,13,236.8,2,116.217576:39.924799;116.216580:39.924783;116.215912:39.924770;116.214806:39.924795
8,14,15,56.4,3,116.224996:39.995590;116.224868:39.995576;116.224682:39.995534;116.224613:39.995526;116.224568:39.995524;116.224525:39.995525;116.224478:39.995531;116.224435:39.995546;116.224386:39.995600
9,16,17,120.0,2,116.220293:39.955045;116.220954:39.955014;116.221364:39.955000;116.221697:39.954994
10,18,19,162.7,2,116.207751:39.924617;116.208717:39.924599;116.209654:39.924596
11,20,2,85.3,3,116.222831:39.991980;116.222882:39.992021;116.222966:39.992101;116.223053:39.992200;116.223096:39.992275;116.223132:39.992357;116.223154:39.992418;116.223168:39.992499;116.223170:39.992586;116.223154:39.992674
12,5,21,29.5,3,116.222127:39.991807;116.222217:39.991800;116.222288:39.991800;116.222384:39.991811;116.222466:39.991835
13,22,23,204.3,2,116.253683:39.983715;116.254988:39.982172
14,24,1,63.7,3,116.223589:39.993247;116.223614:39.993020;116.223614:39.992674
15,25,26,63.7,3,116.211217:39.989277;116.211603:39.988786
16,27,28,419.1,3,116.219232:39.960653;116.219392:39.960649;116.220254:39.960579;116.220600:39.960553;116.222562:39.960382;116.223668:39.960289;116.224109:39.960250
17,29,30,94.2,3,116.161070:39.934555;116.161933:39.935083
18,31,29,121.0,3,116.159716:39.934344;116.160066:39.934345;116.160283:39.934349;116.160501:39.934361;116.160626:39.934380;116.160805:39.934428;116.160935:39.934475;116.161070:39.934555
19,32,33,175.3,3,116.166012:39.926280;116.163960:39.926315
20,34,35,200.2,3,116.169247:39.922285;116.166904:39.922300
21,36,37,111.6,3,116.161826:39.921267;116.162449:39.920383
22,38,39,200.7,3,116.201521:39.995138;116.201804:39.995149;116.201969:39.995152;116.202090:39.995145;116.202162:39.995135;116.202220:39.995127;116.202266:39.995110;116.202338:39.995076;116.202411:39.995017;116.202806:39.994719;116.202882:39.994663;116.202936:39.994609;116.203000:39.994529;116.203283:39.994177
23,40,41,151.3,3,116.252853:39.954783;116.254615:39.954649
24,39,42,83.0,3,116.203283:39.994177;116.203274:39.993430
25,43,44,311.9,3,116.215017:39.960893;116.214997:39.960372;116.214952:39.959196;116.214921:39.958084
26,44,45,137.6,3,116.214921:39.958084;116.216531:39.958081
27,46,47,218.2,3,116.188670:39.938156;116.191224:39.938137
28,48,49,148.3,3,116.185994:39.935756;116.185992:39.934420
29,46,50,208.7,3,116.188670:39.938156;116.188702:39.936275
30,48,50,238.4,3,116.185994:39.935756;116.188702:39.936275
31,51,52,570.6,3,116.174083:39.936613;116.175337:39.937170;116.176136:39.937535;116.177176:39.938078;116.177905:39.938435;116.179019:39.938908;116.179378:39.939036;116.179843:39.939202
32,53,54,142.6,3,116.252645:39.951494;116.254309:39.951400
33,55,56,377.5,2,116.219396:39.955328;116.219018:39.955416;116.218726:39.955505;116.218321:39.955679;116.218017:39.955821;116.217865:39.955912;116.217747:39.956004;116.217630:39.956103;116.217514:39.956214;116.217421:39.956319;116.217348:39.956427;116.217284:39.956547;116.217227:39.956674;116.217181:39.956818;116.217132:39.957011;116.217109:39.957159;116.217094:39.957299;116.217086:39.957433;116.217082:39.957536;116.217067:39.957822
34,57,56,569.9,1,116.216123:39.952739;116.216164:39.952994;116.216289:39.953671;116.216444:39.954483;116.216650:39.955580;116.216825:39.956459;116.216944:39.957159;116.217010:39.957548;116.217067:39.957822
35,44,58,163.2,3,116.214921:39.958084;116.214864:39.956614
36,59,60,560.4,1,116.211990:39.924063;116.211872:39.923672;116.211802:39.923560;116.211722:39.923450;116.211608:39.923370;116.211462:39.923310;116.211367:39.923286;116.211225:39.923270;116.211105:39.923275;116.211000:39.923297;116.210921:39.923325;116.210843:39.923364;116.210781:39.923412;116.210744:39.923465;116.210700:39.923543;116.210668:39.923617;116.210654:39.923691;116.210654:39.923766;116.210671:39.923856;116.210721:39.923952;116.210783:39.924013;116.210841:39.924057;116.210959:39.924118;116.211094:39.924162;116.211212:39.924184;116.211328:39.924196;116.211535:39.924192;116.211741:39.924182;116.211885:39.924170;116.212452:39.924077;116.212725:39.924031;116.212978:39.923990;116.213174:39.923963;116.213388:39.923951;116.213536:39.923950;116.213770:39.923976;116.214057:39.924025;116.214457:39.924162
37,59,61,309.9,1,116.211990:39.924063;116.211985:39.923529;116.211938:39.922985;116.211919:39.922719;116.211853:39.921878;116.211781:39.921277
38,13,62,585.6,1,116.214806:39.924795;116.214187:39.924901;116.213825:39.924936;116.213463:39.924980;116.212988:39.925059;116.212591:39.925129;116.211596:39.925299;116.211381:39.925325;116.211237:39.925339;116.211071:39.925344;116.210857:39.925331;116.210664:39.925308;116.210417:39.925233;116.210254:39.925142;116.210136:39.925055;116.210055:39.924984;116.209988:39.924907;116.209916:39.924787;116.209866:39.924675;116.209839:39.924553;116.209833:39.924453;116.209844:39.924355;116.209872:39.924242;116.209923:39.924108;116.209979:39.924017;116.210269:39.923651
39,13,63,521.9,2,116.214806:39.924795;116.213764:39.924773;116.212461:39.924781;116.211678:39.924780;116.210209:39.924795;116.208700:39.924788
40,18,62,245.1,1,116.207751:39.924617;116.208340:39.924485;116.208731:39.924402;116.209008:39.924340;116.209225:39.924262;116.209391:39.924200;116.209563:39.924122;116.209725:39.924040;116.209899:39.923924;116.210269:39.923651
41,57,64,377.7,2,116.216123:39.952739;116.216205:39.952972;116.216285:39.953192;116.216343:39.953358;116.216397:39.953513;116.216429:39.953605;116.216538:39.953822;116.216607:39.953936;116.216694:39.954047;116.216795:39.954163;116.216906:39.954275;116.217003:39.954362;116.217096:39.954445;116.217247:39.954551;116.217383:39.954634;116.217512:39.954698;116.217627:39.954756;116.217803:39.954825;116.217992:39.954886;116.218180:39.954932;116.218357:39.954966;116.218504:39.954984;116.218642:39.955004;116.218861:39.955046
42,65,66,227.1,3,116.214215:39.953358;116.214838:39.953593;116.215137:39.953708;116.215535:39.953817;116.215809:39.953812;116.216303:39.953770;116.216637:39.953748;116.216739:39.953744
43,67,68,173.0,2,116.215474:39.953097;116.215530:39.952971;116.215590:39.952793;116.215603:39.952700;116.215615:39.952594;116.215632:39.952207;116.215631:39.951961;116.215623:39.951553
44,55,67,812.5,2,116.219396:39.955328;116.219081:39.955345;116.218771:39.955396;116.218479:39.955470;116.218149:39.955583;116.217805:39.955717;116.217426:39.955887;116.216974:39.956104;116.216675:39.956251;116.216445:39.956369;116.216177:39.956467;116.216066:39.956493;116.215979:39.956516;116.215900:39.956533;116.215826:39.956545;116.215722:39.956556;116.215620:39.956562;116.215520:39.956558;116.215390:39.956543;116.215277:39.956519;116.215164:39.956483;116.215032:39.956436;116.214920:39.956386;116.214814:39.956321;116.214705:39.956237;116.214632:39.956155;116.214572:39.956078;116.214516:39.955991;116.214449:39.955818;116.214430:39.955612;116.214436:39.955469;116.214476:39.955328;116.214538:39.955162;116.214639:39.954932;116.214745:39.954713;116.215031:39.954117;116.215227:39.953712;116.215363:39.953427;116.215422:39.953287;116.215474:39.953097
45,69,70,147.3,2,116.226488:39.954865;116.224764:39.954904
46,70,71,9.4,3,116.224764:39.954904;116.224759:39.954820
47,72,73,10.5,2,116.247613:39.947501;116.247490:39.947508
48,74,75,7.6,3,116.239327:39.973188;116.239315:39.973120
49,75,76,13.3,2,116.239315:39.973120;116.239470:39.973112
50,76,77,8.0,3,116.239470:39.973112;116.239447:39.973181
51,78,79,166.3,3,116.186017:39.939670;116.185990:39.938172
52,80,81,107.3,3,116.188338:39.954186;116.187137:39.954470
53,82,83,329.8,3,116.251615:39.940601;116.251579:39.939723;116.251461:39.937632
54,84,85,273.4,3,116.246295:39.950065;116.246276:39.949912;116.246253:39.949660;116.246242:39.949220;116.246220:39.948822;116.246216:39.948563;116.246229:39.948393;116.246275:39.948216;116.246293:39.948052;116.246309:39.947608
55,86,87,192.3,2,116.250851:39.973115;116.251587:39.973119;116.253103:39.973148
56,88,89,104.4,3,116.206687:39.958093;116.206737:39.958126;116.206969:39.958226;116.207300:39.958325;116.207809:39.958453
57,19,90,597.3,2,116.209654:39.924596;116.210236:39.924631;116.211686:39.924636;116.213180:39.924624;116.214338:39.924626;116.214715:39.924619;116.215170:39.924625;116.216202:39.924636;116.216641:39.924613
58,12,91,341.1,1,116.217576:39.924799;116.217034:39.924867;116.216636:39.924902;116.216310:39.924941;116.216011:39.924993;116.215640:39.925080;116.215098:39.925257;116.214620:39.925455;116.214329:39.925606;116.213898:39.925849
59,19,91,590.7,1,116.209654:39.924596;116.209913:39.924569;116.210059:39.924552;116.210316:39.924504;116.210836:39.924426;116.211193:39.924366;116.211918:39.924251;116.212501:39.924150;116.212593:39.924132;116.212791:39.924096;116.213021:39.924064;116.213178:39.924052;116.213446:39.924061;116.213661:39.924097;116.213780:39.924130;116.213908:39.924185;116.214048:39.924250;116.214159:39.924330;116.214264:39.924435;116.214360:39.924555;116.214416:39.924648;116.214451:39.924730;116.214472:39.924794;116.214493:39.924901;116.214494:39.924992;116.214482:39.925118;116.214429:39.925281;116.214333:39.925421;116.214146:39.925613;116.213898:39.925849
60,92,93,174.5,3,116.173535:39.926225;116.173553:39.924653
61,21,20,35.3,3,116.222466:39.991835;116.222556:39.991856;116.222631:39.991885;116.222727:39.991927;116.222831:39.991980
62,94,95,9.7,3,116.236015:39.980540;116.236107:39.980590
63,94,74,875.8,3,116.236015:39.980540;116.236149:39.980352;116.236306:39.980107;116.236495:39.979734;116.236549:39.979596;116.236605:39.979424;116.236832:39.978593;116.236995:39.978093;116.237065:39.977917;116.237226:39.977625;116.237395:39.977383;116.237783:39.976897;116.238427:39.976084;116.238677:39.975753;116.238769:39.975619;116.238912:39.975368;116.238948:39.975298;116.238997:39.975196;116.239042:39.975043;116.239072:39.974929;116.239098:39.974792;116.239131:39.974663;116.239195:39.974194;116.239245:39.973814;116.239290:39.973485;116.239327:39.973188
64,77,74,10.3,2,116.239447:39.973181;116.239327:39.973188
65,23,96,12.8,3,116.254988:39.982172;116.255134:39.982199
66,97,98,70.7,2,116.221724:39.955056;116.221483:39.955066;116.220901:39.955120
67,97,17,7.2,3,116.221724:39.955056;116.221697:39.954994
68,99,100,12.5,3,116.241915:39.966968;116.242055:39.967002
69,101,100,367.3,3,116.243236:39.963828;116.242937:39.964470;116.242675:39.965040;116.242458:39.965540;116.242309:39.965979;116.242237:39.966235;116.242170:39.966450;116.242055:39.967002
70,99,102,368.7,3,116.241915:39.966968;116.241992:39.966638;116.242050:39.966411;116.242182:39.965933;116.242348:39.965488;116.242565:39.964969;116.242967:39.964128;116.243117:39.963785
71,101,102,11.2,3,116.243236:39.963828;116.243117:39.963785
72,102,103,114.3,3,116.243117:39.963785;116.243277:39.963405;116.243457:39.962951;116.243517:39.962802
73,103,104,11.2,3,116.243517:39.962802;116.243647:39.962818
74,105,106,232.1,3,116.240307:39.970220;116.240520:39.969945;116.241131:39.969153;116.241273:39.968932;116.241379:39.968760;116.241439:39.968644;116.241552:39.968369
75,106,99,158.6,3,116.241552:39.968369;116.241636:39.968086;116.241729:39.967703;116.241876:39.967139;116.241915:39.966968
76,107,14,187.8,3,116.227050:39.996187;116.226801:39.996141;116.226466:39.996056;116.226159:39.995976;116.224996:39.995590
77,108,109,314.0,3,116.206808:39.927718;116.206810:39.926795;116.206847:39.926020;116.206847:39.925449;116.206859:39.925083;116.206874:39.924890
78,109,110,54.0,3,116.206874:39.924890;116.206880:39.924404
79,111,110,31.2,3,116.206520:39.924449;116.206880:39.924404
80,112,15,131.1,3,116.225623:39.996296;116.225194:39.996077;116.224953:39.995951;116.224735:39.995826;116.224553:39.995723;116.224386:39.995600
81,113,97,165.4,2,116.223656:39.954959;116.222095:39.955044;116.221870:39.955048;116.221724:39.955056
82,70,113,94.9,2,116.224764:39.954904;116.223656:39.954959
83,114,104,416.9,3,116.245243:39.959277;116.245187:39.959353;116.245063:39.959549;116.244940:39.959757;116.244740:39.960103;116.244606:39.960398;116.244395:39.960885;116.244258:39.961225;116.244051:39.961760;116.243896:39.962162;116.243647:39.962818
84,115,76,566.4,3,116.241665:39.968408;116.241570:39.968644;116.241477:39.968819;116.241264:39.969158;116.240661:39.969950;116.240425:39.970261;116.240035:39.970767;116.239884:39.970967;116.239749:39.971191;116.239606:39.971517;116.239565:39.971666;116.239533:39.971806;116.239504:39.972027;116.239476:39.972401;116.239478:39.972674;116.239470:39.973112
85,116,117,49.0,3,116.253069:39.926591;116.253068:39.927032
86,118,119,169.0,2,116.208820:39.944286;116.207807:39.944264;116.206843:39.944253
87,120,121,168.9,2,116.206844:39.944206;116.207816:39.944219;116.208821:39.944230
88,122,77,142.7,2,116.241118:39.973173;116.240072:39.973174;116.239447:39.973181
89,123,124,85.0,3,116.251355:39.934261;116.252349:39.934292
90,124,125,381.9,3,116.252349:39.934292;116.252491:39.934076;116.252538:39.933969;116.252580:39.933854;116.252603:39.933711;116.252611:39.933606;116.252619:39.933288;116.252615:39.932810;116.252623:39.932090;116.252625:39.930890
91,126,127,108.7,2,116.252971:39.927209;116.252970:39.927558;116.252974:39.928188
92,128,129,54.6,3,116.251336:39.935754;116.250867:39.936089
93,130,131,155.2,2,116.246956:39.944428;116.247096:39.944983;116.247174:39.945317;116.247282:39.945804
94,132,133,477.2,2,116.247113:39.946090;116.246998:39.945626;116.246872:39.945157;116.246795:39.944850;116.246703:39.944480;116.246625:39.944128;116.246569:39.943856;116.246524:39.943581;116.246481:39.943299;116.246402:39.942871;116.246328:39.942434;116.246236:39.941847
95,134,135,192.3,2,116.170371:39.934937;116.171235:39.936537
96,136,137,88.8,3,116.168052:39.926294;116.168148:39.926266;116.169085:39.926257
97,138,139,184.2,2,116.160388:39.927902;116.160551:39.927511;116.160845:39.926873;116.160987:39.926545;116.161058:39.926367;116.161068:39.926328
98,140,141,241.1,2,116.161308:39.922278;116.161240:39.922828;116.161207:39.923334;116.161207:39.923855;116.161212:39.924447
99,139,142,183.0,2,116.161068:39.926328;116.161084:39.926263;116.161101:39.926119;116.161123:39.925635;116.161100:39.924681
100,143,144,181.8,2,116.161181:39.924693;116.161193:39.925636;116.161170:39.926122;116.161154:39.926270;116.161139:39.926329
101,145,146,144.1,3,116.248764:39.944294;116.248547:39.944305;116.248167:39.944332;116.247356:39.944385;116.247086:39.944415
102,147,148,270.9,3,116.248756:39.944244;116.249089:39.944225;116.249214:39.944217;116.249364:39.944207;116.249805:39.944178;116.250329:39.944145;116.250798:39.944113;116.251195:39.944089;116.251377:39.944080;116.251474:39.944079;116.251631:39.944076;116.251749:39.944068;116.251801:39.944071;116.251844:39.944079;116.251910:39.944102
103,149,150,403.5,2,116.169070:39.929917;116.169082:39.926907;116.169085:39.926282
104,151,4,45.1,3,116.221267:39.992747;116.221257:39.992687;116.221245:39.992624;116.221238:39.992556;116.221238:39.992499;116.221250:39.992424;116.221272:39.992344
105,152,5,119.2,3,116.221771:39.990769;116.221863:39.991002;116.221987:39.991333;116.222127:39.991807
106,153,154,237.1,1,116.211941:39.939817;116.211929:39.940235;116.211922:39.940713;116.211926:39.941082;116.211944:39.941622;116.211961:39.941953
